,road,idx,lrp,lat,lon
174523,R585,198,LRP084c,25.539638600000004,88.81061109999999
174540,R745,198,LRP088,23.6077778,88.88883299999999
174562,R860,198,LRP053,23.1836108,90.5641944
174567,R890,198,LRP107,22.076666,90.6194438
174734,Z1811,198,LRP192b,21.4047778,92.1891941
174790,Z2834,198,LRP160,25.260333300000003,89.96597220000001
175130,Z7710,198,LRP036c,22.7297771,89.98494409999999
175210,Z8708,198,LRP057a,22.1730827,90.0158056
175219,Z8806,198,LRP086,22.1832771,90.278666
175230,N1,199,LRP091,23.4373886,91.1521944
175232,N102,199,LRP072,23.96125,91.1020556
175236,N106,199,LRP058,22.6446108,92.1289716
175252,N2,199,LRP074a,24.0390274,91.0023611
175264,N3,199,LRP082c,24.5026667,90.3947219
175268,N4,199,LRP077c,24.3727493,89.9628611
175277,N5,199,LRP064b,23.848694100000003,89.88755520000001
175286,N509,199,LRP102a,26.389083000000003,88.9484997
175298,N6,199,LRP103b,24.4010556,88.97502709999999
175303,N7,199,LRP079b,23.4845552,89.3978608
175318,N8,199,LRP079c,23.2947219,90.0028889
175323,N805,199,LRP067a,23.0278882,89.8286938
175333,R140,199,LRP086,23.0972774,90.7666111
175343,R160,199,LRP080,23.078249300000003,91.9301382
175348,R170,199,LRP058d,21.883388600000004,91.9719438
175354,R203,199,LRP068a,23.8750549,91.0648889
175366,R250,199,LRP086,24.8677771,92.397833
175369,R281,199,LRP068b,24.8399163,92.1605278
175383,R360,199,LRP074b,24.348694100000003,90.7545
175385,R370,199,LRP079a,24.9068889,91.0397497
175396,R545,199,LRP080,25.0004167,88.7519167
175398,R547,199,LRP089a,24.8586111,88.4321382
175408,R585,199,LRP085,25.5394719,88.81022220000001
175425,R745,199,LRP089,23.6061111,88.8988608
175447,R860,199,LRP053a,23.177999300000003,90.5664722
175452,R890,199,LRP107a,22.0784438,90.620166
175619,Z1811,199,LRP192c,21.404277800000003,92.1892219
175675,Z2834,199,LRP160a,25.2597222,89.96213890000001
176015,Z7710,199,LRP037,22.7259716,89.9828882
176095,Z8708,199,LRP058,22.1726938,90.0156944
176104,Z8806,199,LRPE,22.1836663,90.2748882
176115,N1,200,LRP092,23.4288882,91.1553889
176117,N102,200,LRP072a,23.966,91.1015278
176121,N106,200,LRP059,22.6461941,92.1339441
176137,N2,200,LRP074b,24.0387219,91.0037778
176149,N3,200,LRP083,24.5036944,90.3946386
176153,N4,200,LRP077d,24.3735549,89.9649722
176162,N5,200,LRP065,23.847638600000003,89.87905490000001
176171,N509,200,LRP103,26.391833,88.9438608
176183,N6,200,LRP104,24.4011111,88.9745827
176188,N7,200,LRP080,23.4842774,89.3932219
176203,N8,200,LRP080,23.293083,90.0046389
176208,N805,200,LRP068,23.0265549,89.8343886
176218,R140,200,LRP086a,23.0927219,90.7670827
176228,R160,200,LRP081,23.0792493,91.9386386
