,road,km,type,LRPName,name,length,condition,structureNr,roadName,chainage,width,constructionYear,spans,zone,circle,division,sub-division,lat,lon,EstimatedLoc
0,N1,1.8,Box Culvert,LRP001a,.,11.3,A,117861,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,1.8,19.5,2005.0,2.0,Dhaka,Dhaka,Narayanganj,Narayanganj-1,23.7028888888888,90.4503888888889,bcs1
1,N1,4.925,Box Culvert,LRP004b,.,6.6,A,117862,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,4.925,35.4,2006.0,1.0,Dhaka,Dhaka,Narayanganj,Narayanganj-1,23.6936111111111,90.4788333333333,bcs1
2,N1,8.976,PC Girder Bridge,LRP008b,Kanch pur Bridge.,394.23,A,119889,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,8.976,,,,Dhaka,Dhaka,Narayanganj,Narayanganj-1,23.7045833,90.5188327,road_precise
3,N1,10.88,Box Culvert,LRP010b,NOYAPARA CULVERT,6.3,A,112531,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,10.88,12.2,1992.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6998333333333,90.5307222222222,bcs1
4,N1,10.897,Box Culvert,LRP010c,ADUPUR CULVERT,6.3,A,112532,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,10.897,12.2,1984.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6996666666666,90.5307222222222,bcs1
5,N1,11.296,Box Culvert,LRP011a,NAYABARI KASPUR BOX CULVERT,8.3,A,101110,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,11.296,21.45,1986.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6973611111111,90.5338333333333,bcs1
6,N1,12.239,Box Culvert,LRP012a,KHAS PARA BOX CULVERT,9.3,A,101117,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,12.239,21.0,1986.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6923333333333,90.541,bcs1
7,N1,12.253,Box Culvert,LRP012b,DAWAN BAG BOX CULVERT,6.1,A,101119,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,12.253,20.6,1987.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6925555555555,90.5411388888888,bcs1
8,N1,12.66,PC Girder Bridge,LRP013a,Madanpur Bridge.(L),27.5,A,119897,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,12.66,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6854997,90.5512778,road_precise
9,N1,12.66,PC Girder Bridge,LRP013a,MADAN PUR (R),26.3,A,109841,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,12.66,9.2,2003.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6911111111111,90.5448888888888,bcs1
10,N1,12.66,PC Girder Bridge,LRP013a,MADANPUR BRIDGE(L),26.3,A,109838,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,12.66,9.2,2003.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6911111111111,90.5448888888888,bcs1
11,N1,12.688,PC Girder Bridge,LRP013b,Madanpur Bridge(R),27.5,A,119900,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,12.688,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6853619779342,90.5513591765258,road_interpolate
12,N1,13.574,Box Culvert,LRP014a,KAWTALA BOX CULVERT,11.9,A,109794,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,13.574,22.4,2003.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6856111111111,90.5511944444444,bcs1
13,N1,17.222,PC Girder Bridge,LRP018b,Darikandi Bridge (R),20.45,A,119926,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,17.222,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6506944,90.5829993,road_precise
14,N1,17.222,PC Girder Bridge,LRP018a,Darikandi Bridge (L),20.5,A,119921,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,17.222,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6508889,90.5826382,road_precise
15,N1,18.093,PC Girder Bridge,LRP018c,Sonakhal Bridge(L),25.5,A,119933,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,18.093,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6497543993548,90.5845490085483,road_interpolate
16,N1,19.76,Box Culvert,LRP020a,KRIBORDI BOX CULVERT,6.0,A,109817,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,19.76,21.0,2001.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6468055555555,90.5899166666666,bcs1
17,N1,21.184,PC Girder Bridge,LRP021c,Marikhali Bridge(L),86.92,A,119944,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,21.184,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6284668507692,90.6023015723077,road_interpolate
18,N1,21.184,PC Girder Bridge,LRP021d,Marikhali Bridge(R),89.75,A,119948,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,21.184,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6284668507692,90.6023015723077,road_interpolate
19,N1,21.184,PC Girder Bridge,LRP021c,MARIKHALL BRIDGE,89.2,A,101103,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,21.184,9.2,2000.0,3.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6341666666666,90.5968888888888,bcs1
20,N1,22.596,PC Girder Bridge,LRP023a,ASHIR CHAR (Right),224.8,A,109820,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,22.596,9.15,2004.0,9.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6242777777777,90.6054722222222,bcs1
21,N1,23.081,PC Girder Bridge,LRP023d,Asharirchar-2 Bridge.(R),119.32,A,119964,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,23.081,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.613587384385,90.6109029561497,road_interpolate
22,N1,23.081,PC Girder Bridge,LRP023c,Ashariachar-2 Bridge.(L),119.48,A,119961,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,23.081,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.613587384385,90.6109029561497,road_interpolate
23,N1,23.081,PC Girder Bridge,LRP023c,ASHARIR CHAR (L),120.1,A,109796,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,23.081,9.5,2000.0,4.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6205277777777,90.6079166666666,bcs1
24,N1,24.393,PC Girder Bridge,LRP024a,Meghna Bridge,924.85,A,119967,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,24.393,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6018611,90.6159722,road_precise
25,N1,26.115,Box Culvert,LRP026a,TATULTALA CULVERT,5.6,A,101132,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,26.115,10.3,1989.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.598,90.6221944444444,bcs1
26,N1,26.452,Box Culvert,LRP026b,BAILAKANDI CULVERT,5.5,A,101142,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,26.452,20.9,1989.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5961666666666,90.6246944444444,bcs1
27,N1,27.12,Box Culvert,LRP027a,MALUAKANDI CULVEDRT,5.6,A,101150,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,27.12,21.0,1989.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5917499999999,90.6293333333333,bcs1
28,N1,28.315,PC Girder Bridge,LRP028b,Bhater char Bridge (L),172.1,A,119976,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,28.315,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.577916,90.6419719,road_precise
29,N1,28.315,PC Girder Bridge,LRP028a,Bhater char Bridge (R),173.25,A,119973,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,28.315,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5825827,90.6381386,road_precise
30,N1,28.315,PC Girder Bridge,LRP028a,BHATIR CHAR BRIDGE,163.5,A,101101,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,28.315,9.2,2000.0,6.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5853333333333,90.6369166666666,bcs1
31,N1,29.138,PC Girder Bridge,LRP029a,Anarpara Bridge (L),29.85,A,119977,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,29.138,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.572166,90.6451108,road_precise
32,N1,29.138,PC Girder Bridge,LRP029b,Anarpara Bridge (R),29.77,A,119980,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,29.138,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5718327,90.6453052,road_precise
33,N1,29.138,PC Girder Bridge,LRP029a,ANARPUR BRIDGE(R),29.0,A,101108,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,29.138,9.3,2004.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5779722222222,90.6418888888889,bcs1
34,N1,29.138,PC Girder Bridge,LRP029a,ANAR PURA BRIDGE(L),29.0,A,101104,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,29.138,9.3,2004.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5779722222222,90.6418888888889,bcs1
35,N1,29.842,Box Culvert,LRP030a,VITIKANDA - ANAR PUR CULVERT,34.7,A,101113,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,29.842,21.0,1992.0,7.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5723611111111,90.6451666666666,bcs1
36,N1,30.908,PC Girder Bridge,LRP031a,Alipur bridge(R),27.4,A,120009,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,30.908,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5590278,90.6559444,road_precise
37,N1,30.908,PC Girder Bridge,LRP031a,Alipur bridge(L),27.4,A,120012,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,30.908,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5590278,90.6559444,road_precise
38,N1,30.908,PC Girder Bridge,LRP031a,ALI PURA P.C BRIDGE (RIGHT),26.3,A,101120,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,30.908,9.2,2004.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5639444444444,90.6499444444444,bcs1
39,N1,31.472,PC Girder Bridge,LRP032a,Bhaber char Bridge(R),29.85,A,120017,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,31.472,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5523333,90.6636667,road_precise
40,N1,31.472,PC Girder Bridge,LRP032b,Bhaber char Bridge(L),29.83,A,120022,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,31.472,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5557082901265,90.6597414245569,road_interpolate
41,N1,31.472,PC Girder Bridge,LRP032a,VOBAR CHAR (L),29.0,A,109831,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,31.472,9.2,2003.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5605,90.6541944444444,bcs1
42,N1,31.472,PC Girder Bridge,LRP032a,VOBAR CHAR BRIDGE(R),29.0,A,109826,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,31.472,9.2,2003.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5605,90.6541944444444,bcs1
43,N1,32.121,PC Girder Bridge,LRP032d,Baushia Bridge(R),29.87,A,120025,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,32.121,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5517421907216,90.6643538752577,road_interpolate
44,N1,32.121,PC Girder Bridge,LRP032e,Baushia Bridge(L),29.9,A,120026,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,32.121,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5517421907216,90.6643538752577,road_interpolate
45,N1,32.121,PC Girder Bridge,LRP032d,BOBARCHAR BRIDGE(L),28.9,A,109825,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,32.121,9.2,2004.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5564722222222,90.6588611111111,bcs1
46,N1,32.121,PC Girder Bridge,LRP032d,BOBAIRCHAR BRIDGE(R),28.9,A,109832,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,32.121,9.2,2004.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5565555555555,90.6588888888889,bcs1
47,N1,32.777,Box Culvert,LRP033a,PURRANBUICHE BOX CULVERT,9.1,A,109843,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,32.777,21.0,2002.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5524166666666,90.6636111111111,bcs1
48,N1,32.796,Box Culvert,LRP033b,NOYAPARA,5.2,A,112533,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,32.796,12.2,1992.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5523611111111,90.6636666666666,bcs1
49,N1,33.591,PC Girder Bridge,LRP034a,Madhya Baushia Bridge(L),72.49,A,120028,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,33.591,9.15,2000.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5473611111111,90.6695,bcs1
50,N1,33.591,PC Girder Bridge,LRP034a,MADHAYA BAUSHIA BRIDGE(R),59.2,A,109845,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,33.591,9.2,2000.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5473055555555,90.6694166666666,bcs1
51,N1,33.591,PC Girder Bridge,LRP034a,MADHAYA BAUSHIA(L),70.0,A,109839,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,33.591,9.2,2000.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5473611111111,90.6695,bcs1
52,N1,33.591,PC Girder Bridge,LRP034b,Madhya Baushia Bridge(R),59.83,A,120029,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,33.591,10.15,2000.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5473055555555,90.6694166666666,bcs1
53,N1,35.181,Box Culvert,LRP035a,.,9.5,A,117863,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,35.181,21.2,2000.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5342222222222,90.6843333333333,bcs1
54,N1,35.408,PC Girder Bridge,LRP036a,Baushia bazar Bridge( L ),25.45,A,120030,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,35.408,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.529916,90.6952219,road_precise
55,N1,35.408,PC Girder Bridge,LRP036b,Baushia bazar Bridge ( R ),25.45,A,120031,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,35.408,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5313996605222,90.68744892596,road_interpolate
56,N1,35.707,Box Culvert,LRP036c,CHAR BOUSHEA (2),8.4,A,101125,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,35.707,21.1,1998.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5340833333333,90.6841944444444,bcs1
57,N1,37.01,PC Box,LRP037a,Daudkandi Bridge.,1408.8,A,120033,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,37.01,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5303844733,90.7024402743,road_interpolate
58,N1,48.384,RCC Girder Bridge,LRP049a,Ginlatoly bridge,15.9,A,120392,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,48.384,,,,Comilla,Comilla,Comilla,Gouripur,23.5318234765,90.8110155135,road_interpolate
59,N1,50.558,Box Culvert,LRP051a,RAIPUR BOX CULVERT,12.2,A,101147,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,50.558,11.6,1988.0,2.0,Comilla,Comilla,Comilla,Gouripur,23.5347222222222,90.825,bcs1
60,N1,63.538,Box Culvert,LRP064c,SONAPUR BOX CULVERT,3.0,A,101169,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,63.538,12.4,1992.0,1.0,Comilla,Comilla,Comilla,Gouripur,23.5023888888888,90.9420277777777,bcs1
61,N1,68.04,Box Culvert,LRP068a,MILL GHAT BOX CULVERT,4.5,A,101175,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,68.04,8.3,1991.0,1.0,Comilla,Comilla,Comilla,Gouripur,23.4951944444444,90.983,bcs1
62,N1,76.481,Slab Culvert,LRP077a,NIMSHAR SLAB CULVERT,1.5,A,101189,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,76.481,12.3,1999.0,1.0,Comilla,Comilla,Comilla,Gouripur,23.4815277777777,91.0617777777777,bcs1
63,N1,82.437,Box Culvert,LRP083a,TIPRA BAZAR BOX CULVERT,1.4,A,101200,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,82.437,12.2,1993.0,1.0,Comilla,Comilla,Comilla,Gouripur,23.4788333333333,91.1177499999999,bcs1
64,N1,82.989,Slab Culvert,LRP083b,AMTOLI SLAB CULVERT,2.9,A,101202,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,82.989,12.0,1985.0,1.0,Comilla,Comilla,Comilla,Comilla,23.4792777777777,91.1234999999999,bcs1
65,N1,87.713,RCC Girder Bridge,LRP088a,DHANPUR RCC GIDER BRIDGE,23.4,A,101205,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,87.713,9.2,1988.0,3.0,Comilla,Comilla,Comilla,Comilla,23.4489444444444,91.14725,bcs1
66,N1,97.257,RCC Girder Bridge,LRP098a,RAZAPARA RCC GIDER BRIDGE,27.9,A,101218,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,97.257,9.2,1995.0,3.0,Comilla,Comilla,Comilla,Comilla,23.4037777777777,91.2175833333333,bcs1
67,N1,100.938,RCC Girder Bridge,LRP101a,Suagazi Bridge.,30.48,A,120403,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,100.938,,,,Comilla,Comilla,Comilla,Comilla,23.3914441,91.2293049,road_precise
68,N1,100.938,RCC Girder Bridge,LRP101a,SUAGAZI RCC GIDER BRIDGE,30.4,A,101220,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,100.938,9.2,1990.0,4.0,Comilla,Comilla,Comilla,Comilla,23.3784166666666,91.2398611111111,bcs1
69,N1,104.753,Box Culvert,LRP105a,CHANSIRI BOXCUIVERT,14.3,A,101225,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,104.753,8.5,1974.0,3.0,Comilla,Comilla,Comilla,Comilla,23.3488055555555,91.2599166666666,bcs1
70,N1,106.519,Box Culvert,LRP107a,MIABAZAR BOX CULVERT,24.0,A,101227,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,106.519,10.4,1974.0,5.0,Comilla,Comilla,Comilla,Comilla,23.336,91.2701111111111,bcs1
71,N1,108.125,Box Culvert,LRP109a,NOYA BAZER BOX CULVERT,9.2,A,101230,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,108.125,11.5,1990.0,2.0,Comilla,Comilla,Comilla,Comilla,23.3241944444444,91.2790833333333,bcs1
72,N1,110.551,Box Culvert,LRP111a,LALGORE BEZER CULVERT,3.2,A,101135,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,110.551,12.2,1986.0,1.0,Comilla,Comilla,Comilla,Comilla,23.3039166666666,91.2887777777777,bcs1
73,N1,111.509,Box Culvert,LRP112a,SUPUYA BOX CULVERT,13.4,A,101138,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,111.509,8.4,1986.0,3.0,Comilla,Comilla,Comilla,Comilla,23.2960277777777,91.2915,bcs1
74,N1,117.627,Box Culvert,LRP118d,BALUZURI 2 CULVERT,2.6,A,101184,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,117.627,12.2,1984.0,1.0,Comilla,Comilla,Comilla,Comilla,23.2453611111111,91.3110555555555,bcs1
75,N1,118.049,Box Culvert,LRP119a,KALIR BAZAR BOX CULVERT,2.5,A,101185,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,118.049,12.2,1990.0,1.0,Comilla,Comilla,Comilla,Comilla,23.2417777777777,91.3123888888888,bcs1
76,N1,119.628,Box Culvert,LRP120b,CHADDAGRAM BAZAR BOX CULVERT,6.0,A,101192,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,119.628,9.5,1984.0,1.0,Comilla,Comilla,Comilla,Comilla,23.2275833333333,91.3133611111111,bcs1
77,N1,121.567,Box Culvert,LRP122a,FALGUNCORA CULVERT,6.1,A,101198,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,121.567,11.85,1984.0,1.0,Comilla,Comilla,Comilla,Comilla,23.2103888888888,91.3156944444444,bcs1
78,N1,122.603,Box Culvert,LRP123a,ATTOCK GRAM BOX CULVERT,6.1,A,101201,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,122.603,12.0,1984.0,1.0,Comilla,Comilla,Comilla,Comilla,23.2010833333333,91.31675,bcs1
79,N1,126.448,Box Culvert,LRP127a,ANDAJER BAZER BOX CULVERT,9.5,A,101214,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,126.448,10.5,1992.0,2.0,Comilla,Comilla,Comilla,Comilla,23.1681944444444,91.3214166666666,bcs1
80,N1,130.912,Box Culvert,LRP131b,HASO BOTHACH BOX CULVERT,6.5,A,101229,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,130.912,12.2,1984.0,1.0,Comilla,Comilla,Comilla,Comilla,23.1291111111111,91.3286666666666,bcs1
81,N1,133.155,Box Culvert,LRP134a,Chanara Box Culvert,6.1,A,101167,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,133.155,9.5,1984.0,1.0,Comilla,Comilla,Comilla,Comilla,23.1108333333333,91.3381944444444,bcs1
82,N1,134.974,Box Culvert,LRP136a,PODOYA BOX CULVERT,3.1,A,101193,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,134.974,12.3,1984.0,1.0,Comilla,Comilla,Comilla,Comilla,23.0962777777777,91.3461111111111,bcs1
83,N1,136.375,Box Culvert,LRP137a,UTTOR KAIEATI CULVERT,3.5,A,101204,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,136.375,12.2,1994.0,1.0,Comilla,Comilla,Comilla,Comilla,23.0850555555555,91.3524166666666,bcs1
84,N1,141.531,Box Culvert,LRP142a,FATAPUR BOX CULVERT,10.8,A,101226,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,141.531,15.9,1999.0,2.0,Comilla,Noakhali,Feni,Feni-1,23.0423333333333,91.3654444444444,bcs1
85,N1,142.793,Slab Culvert,LRP143a,DEBIPUR SLAB CULVERT,1.6,A,101228,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,142.793,12.5,1970.0,1.0,Comilla,Noakhali,Feni,Feni-1,23.0295555555555,91.3655833333333,bcs1
86,N1,144.939,Box Culvert,LRP145a,CHARIPUR CULVERT.,3.4,A,101232,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,144.939,13.8,1981.0,1.0,Comilla,Noakhali,Feni,Feni-1,23.01425,91.3759722222222,bcs1
87,N1,147.296,Box Culvert,LRP148a,RAMPUR BOX CULVERT,1.5,A,101233,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,147.296,12.45,1970.0,1.0,Comilla,Noakhali,Feni,Feni-1,23.003,91.3880833333333,bcs1
88,N1,148.151,RCC Girder Bridge,LRP149a,RAMPUR BRIDGE,23.4,A,101234,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,148.151,12.4,1986.0,3.0,Comilla,Noakhali,Feni,Feni-1,22.9961666666666,91.4004166666666,bcs1
89,N1,148.174,PC Girder Bridge,LRP149b,Rampur Bridge(R),22.15,A,121134,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,148.174,,,,Comilla,Noakhali,Feni,Feni-1,22.9945936133042,91.4024539137404,road_interpolate
90,N1,148.495,Box Culvert,LRP149c,.,1.9,A,117864,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,148.495,12.4,1999.0,1.0,Comilla,Noakhali,Feni,Feni-1,22.9806944444444,91.4171666666666,bcs1
91,N1,158.031,Box Culvert,LRP159a,FAZAILPUR BOXCULVERT,1.5,A,101241,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,158.031,10.3,1984.0,1.0,Comilla,Noakhali,Feni,Feni-1,22.9484444444444,91.4781388888888,bcs1
92,N1,165.183,PC Girder Bridge,LRP166a,DumGhat Bridge(L),222.43,A,121146,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,165.183,11.12,1974.0,7.0,Comilla,Noakhali,Feni,Feni-1,22.9155555555555,91.5252777777777,bcs1
93,N1,165.825,Box Culvert,LRP166c,BUMGAT BOXCULVERT,6.1,A,101270,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,165.825,12.5,1988.0,2.0,Comilla,Noakhali,Feni,Feni-1,22.9103611111111,91.5285555555555,bcs1
94,N1,166.479,Slab Culvert,LRP167a,BOROYAR PARA SLUB CULVERT,3.0,A,101278,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,166.479,12.4,1999.0,1.0,Comilla,Noakhali,Feni,Feni-1,22.9050277777777,91.5312222222222,bcs1
